"Currency","Symbol","Digital Code","Class","Name","Country","Decimal Places","Decimal Sign","Grouping Sign","Symbol Separator","Symbol Ahead","Convertion"
"XOF","₣","952","Franc","CFA Franc BCEAO","Guinea-Bissau","0",",","\u202F","\u00A0","False",""
"XOF","₣","952","Franc","CFA Franc BCEAO","Mali","0",",","\u202F","\u00A0","False",""
"XOF","₣","952","Franc","CFA Franc BCEAO","Niger","0",",","\u202F","\u00A0","False",""
"XOF","₣","952","Franc","CFA Franc BCEAO","Senegal","0",",","\u202F","\u00A0","False",""
"XOF","₣","952","Franc","CFA Franc BCEAO","Togo","0",",","\u202F","\u00A0","False",""
"XCD","$","951","Dollar","East Caribbean Dollar","Anguilla","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Antigua and Barbuda","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Dominica","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Grenada","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Montserrat","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Saint Kitts and Nevis","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Saint Lucia","2",".",",","","True",""
"XCD","$","951","Dollar","East Caribbean Dollar","Saint Vincent and Grenadine","2",".",",","","True",""
"XPF","₣","953","Franc","CFP Franc","French Polynesia","0",",","\u202F","\u00A0","False",""
"XPF","₣","953","Franc","CFP Franc","New Caledonia","0",",","\u202F","\u00A0","False",""
"XPF","₣","953","Franc","CFP Franc","Wallis and Futuna","0",",","\u202F","\u00A0","False",""
"YER","﷼","886","Rial","Yemeni Rial","Yemen","2","\u066B","\u066C","\u00A0","False","٠١٢٣٤٥٦٧٨٩-"
"ZAR","R","710","Rand","Rand LS","Lesotho","2",".",",","\u00A0","True",""
"ZAR","R","710","Rand","Rand NA","Namibia","2",".","\u202F","\u00A0","True",""
"ZAR","R","710","Rand","Rand ZA","South Africa","2",".","\u202F","\u00A0","True",""
"ZMW","ZK","967","Kwacha","Zambian Kwacha","Zambia","2",".",",","\u00A0","True",""
"ZWL","$","932","Dollar","Zimbabwe Dollar","Zimbabwe","2",".",",","\u00A0","True",""
